hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-08 08:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-08 09:00:00,4,159.800,0.000,0.000,159.800,0.000,0.000,159.800
2017-01-08 10:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-08 11:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-08 12:00:00,4,144.800,0.000,0.000,144.800,0.000,0.000,144.800
2017-01-08 13:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-08 14:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-08 15:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-08 16:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-08 17:00:00,2,89.900,0.000,0.000,89.900,0.000,0.000,89.900
2017-01-08 18:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-08 19:00:00,2,54.900,0.000,0.000,54.900,0.000,0.000,54.900
2017-01-08 20:00:00,3,149.800,-31.200,0.000,118.600,0.000,0.000,118.600
2017-01-08 21:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-08 22:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-08 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 02:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-09 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 04:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-09 05:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 06:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 07:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-09 08:00:00,1,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-09 09:00:00,8,380.450,0.000,0.000,380.450,7.990,0.000,388.440
2017-01-09 10:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 11:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-09 12:00:00,10,369.500,0.000,0.000,369.500,0.000,0.000,369.500
2017-01-09 13:00:00,8,269.550,0.000,0.000,269.550,10.990,0.000,280.540
2017-01-09 14:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-09 15:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-09 16:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-09 17:00:00,3,129.800,0.000,0.000,129.800,0.000,0.000,129.800
2017-01-09 18:00:00,5,154.750,0.000,0.000,154.750,0.000,0.000,154.750
2017-01-09 19:00:00,4,134.800,0.000,0.000,134.800,0.000,0.000,134.800
2017-01-09 20:00:00,1,59.850,0.000,0.000,59.850,0.000,0.000,59.850
2017-01-09 21:00:00,6,189.700,0.000,0.000,189.700,0.000,0.000,189.700
2017-01-09 22:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-09 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-10 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-10 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-10 02:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-10 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-10 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-10 05:00:00,1,34.950,0.000,0.000,34.950,10.990,0.000,45.940
2017-01-10 06:00:00,3,114.850,0.000,-19.950,94.900,0.000,0.000,94.900
2017-01-10 07:00:00,2,72.850,0.000,0.000,72.850,0.000,0.000,72.850
2017-01-10 08:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-10 09:00:00,4,124.800,0.000,0.000,124.800,0.000,0.000,124.800
2017-01-10 10:00:00,1,57.900,0.000,0.000,57.900,0.000,0.000,57.900
2017-01-10 11:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-10 12:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-10 13:00:00,6,219.700,0.000,0.000,219.700,0.000,0.000,219.700
2017-01-10 14:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-10 15:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-10 16:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-10 17:00:00,2,72.850,0.000,0.000,72.850,0.000,0.000,72.850
2017-01-10 18:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-10 19:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-10 20:00:00,3,74.850,0.000,0.000,74.850,0.000,0.000,74.850
2017-01-10 21:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-10 22:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-10 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 01:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-11 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 03:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-11 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 05:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 06:00:00,2,86.690,0.000,0.000,86.690,0.000,1.110,87.800
2017-01-11 07:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-11 08:00:00,1,37.900,0.000,0.000,37.900,0.000,0.000,37.900
2017-01-11 09:00:00,5,190.600,-9.470,0.000,181.130,0.000,0.000,181.130
2017-01-11 10:00:00,2,82.850,0.000,0.000,82.850,0.000,0.000,82.850
2017-01-11 11:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 12:00:00,3,114.850,0.000,0.000,114.850,0.000,0.000,114.850
2017-01-11 13:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-11 14:00:00,3,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-11 15:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-11 16:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-11 17:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-11 18:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-11 19:00:00,5,149.750,0.000,0.000,149.750,0.000,0.000,149.750
2017-01-11 20:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-11 21:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-11 22:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-11 23:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-12 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-12 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-12 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-12 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
